,Population
1976-01-01,1115627.6160363555
1977-01-01,1089926.7245941707
1978-01-01,1067422.283215934
1979-01-01,1048039.7999412193
1980-01-01,1031779.2747700277
1981-01-01,1018609.0
1982-01-01,1008600.9443457264
1983-01-01,1001714.8467949757
1984-01-01,997950.7073477474
1985-01-01,997311.0549748993
1986-01-01,999799.3850445893
1987-01-01,1003753.1579060183
1988-01-01,1007515.8582474033
1989-01-01,1011097.0088901639
1990-01-01,1014477.040705104
1991-01-01,1017666.0
1992-01-01,1020663.8867748517
1993-01-01,1023478.1284714448
1994-01-01,1025515.842242992
1995-01-01,1023338.8694848854
1996-01-01,1016376.0
1997-01-01,1004588.4714031359
1998-01-01,988040.6964188665
1999-01-01,971893.3813375939
2000-01-01,987264.6659379739
2001-01-01,1039534.0
2002-01-01,1128415.758747377
2003-01-01,1254002.4738061826
2004-01-01,1407114.9458065967
2005-01-01,1532667.2628859496
2006-01-01,1620693.0
2007-01-01,1671586.0629433966
2008-01-01,1685346.451716139
2009-01-01,1667724.97900295
2010-01-01,1653852.9572576024
2011-01-01,1649519.0
2012-01-01,1654723.1072301439
2013-01-01,1669518.7700981796
2014-01-01,1691159.173545972
2015-01-01,1703763.2194549572
2016-01-01,1704694.0
2017-01-01,1693906.0491310316
2018-01-01,1671458.317399248
2019-01-01,1646479.150430307
2020-01-01,1673819.5289849213
2021-01-01,1762949.0
2022-01-01,1913380.517185844
2023-01-01,2103293.334632189
2024-01-01,2200807.0
2025-01-01,2183738.2467124057
2026-01-01,2121100.0
2027-01-01,2081545.7354919084
2028-01-01,2065075.453188131
2029-01-01,2068631.6194803724
2030-01-01,2073635.4383989144
2031-01-01,2077000.0
2032-01-01,2078725.304283629
2033-01-01,2078809.3352847318
2034-01-01,2077508.0150275473
2035-01-01,2076353.7076375417
2036-01-01,2075600.0
2037-01-01,2075246.4749663132
2038-01-01,2075295.0643672673
2039-01-01,2075698.417754585
2040-01-01,2076181.5205316665
2041-01-01,2076700.0
2042-01-01,2077251.0229384475
2043-01-01,2077835.9595005596
2044-01-01,2078450.9877744436
2045-01-01,2079074.7588113262
2046-01-01,2079700.0
2047-01-01,2080328.4112903103
2048-01-01,2080959.9926822581
2049-01-01,2081657.7342986318
2050-01-01,2082783.63210343
2051-01-01,2084400.0
2052-01-01,2086506.83798834
2053-01-01,2089111.9356985958
2054-01-01,2092201.0576241538
2055-01-01,2095780.6496414826
2056-01-01,2099850.7117505823
2057-01-01,2104424.4122778187
2058-01-01,2109476.7583241356
2059-01-01,2115019.574462224
2060-01-01,2121052.860692083
2061-01-01,2127595.1640362996
2062-01-01,2134610.7342033763
2063-01-01,2142116.774462224
2064-01-01,2150113.284812842
2065-01-01,2158624.19097404
2066-01-01,2167602.985261876
2067-01-01,2177072.2496414827
2068-01-01,2187031.98411286
2069-01-01,2197511.4930910384
2070-01-01,2208453.5114996335
2071-01-01,2219886.0
2072-01-01,2230706.6522609745
2073-01-01,2240752.694643373
2074-01-01,2249969.2307407353
2075-01-01,2258384.8059629695
2076-01-01,2265999.420310076
2077-01-01,2272830.6411130894
2078-01-01,2278841.139296584
2079-01-01,2284050.6766049494
2080-01-01,2288459.2530381875
2081-01-01,2292075.6522618155
2082-01-01,2294880.1125314413
2083-01-01,2296883.611925939
2084-01-01,2298086.1504453095
2085-01-01,2298487.728089552
2086-01-01,2298086.1504453095
2087-01-01,2296883.611925939
2088-01-01,2294880.1125314413
2089-01-01,2292066.8685962977
2090-01-01,2288459.2530381875
2091-01-01,2284050.67660495
2092-01-01,2278841.1392965834
2093-01-01,2272813.0737820547
2094-01-01,2265999.4203100763
2095-01-01,2258384.8059629695
2096-01-01,2249969.2307407353
2097-01-01,2240726.343646821
2098-01-01,2230706.6522609745
2099-01-01,2219886.0
